Number,Filename,Jaccard
1,1469428092-2038600.png,0.510194
2,1469428156-2115100.png,0.563636
3,1469428164-2124500.png,0.697001
4,1469428165-2125200.png,0.648448
5,1469428166-2126100.png,0.779587
6,1469428166-2126900.png,0.621798
7,1469428168-2128700.png,0.626043
8,1469428168-2129400.png,0.542701
9,1469428345-2340000.png,0.502658
10,1469428346-2340400.png,0.519838
11,1469428356-2352000.png,0.587924
12,1469428356-2352800.png,0.667071
13,1469428360-2356800.png,0.595484
14,1469428361-2357500.png,0.632527
15,1469428361-2358400.png,0.652174
16,1469428368-2366100.png,0.611543
17,1469428369-2366700.png,0.559647
18,1469428379-2378400.png,0.501587
19,1469428382-2381500.png,0.57781
20,1469428403-2407000.png,0.528707
21,1469428410-2415100.png,0.715305
22,1469428413-2418000.png,0.539326
23,1469428536-2559800.png,0.503975
24,1469428538-2561600.png,0.617712
25,1469428543-2566900.png,0.571961
,AVERAGE, 0.594986
