Number,Filename,Jaccard
1,1469426361-40100.png,0.562991
2,1469426390-60500.png,0.57377
3,1469426395-63900.png,0.621664
4,1469426404-71100.png,0.617723
5,1469426408-74000.png,0.627451
6,1469426412-76600.png,0.620722
7,1469426414-78900.png,0.653139
8,1469426425-87400.png,0.5625
9,1469426428-90000.png,0.592896
10,1469426432-93300.png,0.574326
11,1469426436-96200.png,0.598871
12,1469426439-99200.png,0.568182
13,1469426443-102300.png,0.559934
14,1469426447-105900.png,0.567442
15,1469426452-110000.png,0.55302
16,1469426457-114000.png,0.604651
17,1469426460-116700.png,0.606916
18,1469426464-120400.png,0.585799
19,1469426468-123500.png,0.565385
20,1469426494-144900.png,0.618901
21,1469426525-172000.png,0.519779
22,1469426584-224400.png,0.511365
23,1469426586-226200.png,0.728675
24,1469426594-233100.png,0.57167
25,1469426636-270400.png,0.545461
26,1469426660-293600.png,0.612025
27,1469426662-294700.png,0.604182
28,1469426750-375000.png,0.503319
29,1469426778-401000.png,0.513156
30,1469426785-407400.png,0.554176
31,1469426872-491200.png,0.506827
32,1469426892-510500.png,0.602846
33,1469426917-533700.png,0.519231
34,1469426965-581100.png,0.645551
35,1469426974-590200.png,0.595975
36,1469426976-592000.png,0.637738
37,1469426979-594500.png,0.582278
38,1469426980-595300.png,0.588406
39,1469427011-626600.png,0.5436
40,1469427015-630500.png,0.563527
41,1469427076-692700.png,0.546584
42,1469427077-693600.png,0.597561
43,1469427086-702800.png,0.563478
44,1469427087-703700.png,0.611111
45,1469427088-704400.png,0.749156
46,1469427090-706600.png,0.529697
47,1469427120-736900.png,0.550964
48,1469427123-740000.png,0.598743
49,1469427124-740800.png,0.607228
50,1469427124-741300.png,0.611916
51,1469427125-742100.png,0.529577
,AVERAGE, 0.583962
