Number,Filename,Jaccard
1,1469427546-1390600.png,0.867003
2,1469427561-1409300.png,0.771488
3,1469427570-1420200.png,0.641026
4,1469427588-1442000.png,0.576613
5,1469427592-1447100.png,0.586233
6,1469427634-1497400.png,0.564626
7,1469427643-1507700.png,0.752206
8,1469427645-1510200.png,0.637473
9,1469427645-1510800.png,0.856471
10,1469427650-1515700.png,0.738252
11,1469427651-1517100.png,0.798346
12,1469427652-1518800.png,0.767974
13,1469427685-1557500.png,0.81894
14,1469427685-1558100.png,0.884579
15,1469427687-1560000.png,0.79743
16,1469427687-1560400.png,0.656176
17,1469427711-1588200.png,0.779723
18,1469427714-1591000.png,0.836798
19,1469427714-1591500.png,0.968712
20,1469427714-1592000.png,0.897507
21,1469427717-1594700.png,0.917817
22,1469427717-1595200.png,0.794227
23,1469427719-1597200.png,0.511983
24,1469427720-1598200.png,0.719008
25,1469427728-1607800.png,0.506629
26,1469427731-1611300.png,0.687356
27,1469427750-1633700.png,0.510647
28,1469427771-1658300.png,0.621122
29,1469427775-1662200.png,0.618687
30,1469427793-1683800.png,0.614561
31,1469427793-1684500.png,0.646865
32,1469427795-1686400.png,0.758333
33,1469427797-1688000.png,0.709802
34,1469427805-1698400.png,0.767866
35,1469427823-1718300.png,0.526124
36,1469427824-1719800.png,0.721997
37,1469427830-1726200.png,0.712566
38,1469427843-1741400.png,0.605431
39,1469427844-1742500.png,0.504762
40,1469427869-1771800.png,0.686773
41,1469427870-1772500.png,0.75495
42,1469427871-1773200.png,0.690603
43,1469427875-1778300.png,0.630368
44,1469427878-1781900.png,0.583376
45,1469427880-1783400.png,0.597148
46,1469427882-1785600.png,0.562767
47,1469427902-1808900.png,0.835938
48,1469427928-1839400.png,0.505756
49,1469427930-1841200.png,0.787433
50,1469427949-1863800.png,0.649816
51,1469427954-1869800.png,0.718617
52,1469427976-1895200.png,0.671551
53,1469427977-1896600.png,0.544298
54,1469427978-1897500.png,0.667509
,AVERAGE, 0.69519
