Number,Filename,Jaccard
1,1469429577-3830300.png,0.665663
2,1469429577-3830700.png,0.676512
3,1469429606-3862900.png,0.570281
4,1469429633-3893400.png,0.89094
5,1469429634-3894200.png,0.809474
6,1469429636-3896900.png,0.553191
7,1469429662-3926100.png,0.582011
8,1469429691-3958200.png,0.56746
9,1469429704-3973300.png,0.625978
10,1469429705-3974300.png,0.603639
11,1469429706-3975100.png,0.752941
12,1469429753-4027400.png,0.738205
13,1469429896-4192100.png,0.558923
14,1469429898-4195300.png,0.715
15,1469429913-4211200.png,0.536806
16,1469429976-4282600.png,0.676923
,AVERAGE, 0.657747
